Id,x,y,Expression,Action,Gesture,Interaction
person1,195,43,Neutral,Walking,Down,Reading Book
person1,202,42,Neutral,Walking,Down,Reading Book
person1,204,42,Neutral,Walking,Down,Reading Book
person1,202,42,Neutral,Walking,Down,Reading Book
person1,201,43,Neutral,Walking,Down,Reading Book
person1,197,37,Neutral,Walking,Left Hand Up,Reading Book
person1,195,37,Neutral,Walking,Down,Reading Book
person1,200,75,Sad,Walking,Down,Reading Book
person1,204,140,Sad,Walking,Down,None
person1,217,231,Neutral,Walking,Down,None
person1,222,293,Neutral,Walking,Down,None
person1,226,327,Sad,Walking,Down,Reading Book
person1,227,349,None,Walking,Down,Reading Book
person1,231,358,Sad,Walking,Down,Reading Book
person1,230,367,Sad,Walking,Down,Reading Book
person1,234,382,Sad,Walking,Down,Reading Book
person1,231,386,Sad,Walking,Down,Reading Book
person1,230,374,Sad,Sitting,Down,Reading Book
person1,228,373,Sad,Sitting,Down,Reading Book
person1,222,354,None,None,Down,Reading Book
person1,216,349,None,Walking,Down,Reading Book
person1,214,317,None,Walking,Down,Reading Book
person1,216,294,None,Walking,Down,Reading Book
person1,213,286,None,Walking,Down,Reading Book
person1,216,282,None,Walking,Both Hands Up,Reading Book
person1,217,289,None,Walking,Both Hands Up,Reading Book
person1,215,291,None,Walking,Left Hand Up,Reading Book
person1,207,325,None,Walking,Down,Reading Book
person1,210,342,None,Walking,Down,Reading Book
person1,212,347,None,Walking,Down,Reading Book
person1,211,342,None,Walking,Down,Reading Book
person1,211,337,None,Walking,Down,Reading Book
person1,208,334,None,Sitting,Down,Reading Book
person1,203,317,None,Walking,Down,Reading Book
person1,199,293,None,Walking,Down,Reading Book
person1,190,226,None,Walking,Down,None
person1,181,175,Sad,Walking,Left Hand Up,None
person1,174,170,Sad,Walking,Down,None
person1,176,188,Sad,Walking,Down,None
person1,168,157,Neutral,Walking,Down,None
person1,160,89,Neutral,Walking,Down,None
person1,157,67,Neutral,Walking,Down,None
person1,154,82,Neutral,Walking,Down,Reading Book
person1,153,95,Neutral,Walking,Down,Reading Book
person1,152,80,Neutral,Walking,Down,Reading Book
person1,66,671,None,None,Down,None
person1,66,671,None,None,Down,None
person1,66,671,None,None,Down,None
person1,66,671,None,None,Down,None
person1,147,108,None,Walking,Down,None
person1,147,108,None,Walking,Down,None
person1,143,45,Sad,Walking,Both Hands Up,None
person1,143,53,Sad,Walking,Both Hands Up,None
person1,144,45,Sad,Walking,Both Hands Up,None
